name,key,link,related_aesthetics,decade_of_origin,key_motifs,key_colours,key_values,related_media,earliest_origin,latest_origin
Cassette Futurism,Cassette_Futurism,https://aesthetics.fandom.com/wiki/Cassette_Futurism,"['Atompunk', 'Cyberpunk', 'Dieselpunk', 'Early_Cyber', 'Googie', 'Earth_Tones', 'Hexatron', 'Laser_Grid', 'Monochrome_Luxe', 'Mid-Century_Modern', 'Neon_Noir', 'Raygun_Gothic', 'Retrofuturism', 'Space_Age', 'Synthwave', 'Supergraphic_Ultramodern', 'Vaporwave', 'Vintage']",1970s,"Cassettes, CRT monitors, Microfiche readers, third generation computers","Beige, cream, grey, red, green, blue",,,1970.0,1970.0
Casuals,Casuals,https://aesthetics.fandom.com/wiki/Casuals,"['Blokecore', 'Britpop', 'Lad_Culture', 'Madchester', 'Mod', 'Paninaro', 'Skinhead', 'Ultras']",Late 1970s-Early 1980s,"Designer sportswear, Italian designer brands, European sportswear, high-end casual wear, smart attire","Varied, emphasis on specific brand colours","Exclusivity, status, regional identity, football culture, competitive dressing","D, The Firm, The Football Factory, Green Street, Casuals: The Story of the Legendary Terrace Fashion",1970.0,1980.0
Catholic Horror,Catholic_Horror,https://aesthetics.fandom.com/wiki/Catholic_Horror,"['Devilcore', 'Gothic', 'Horror', 'Morute', 'Vampire']",1970s,"Religious symbolism (crosses, rosaries, crucifixes), darkness and shadows, blood, tears, spirits and demonic entities, rituals (exorcisms, sacraments), fire and candles,Gothic architectureand cathedrals, creepy baby dolls","Black, white, gold, red, dark muted blue/red","Roman Catholicism, horror, redemption and sin, possession and exorcism, fear of death and the unknown, the supernatural and occult, conflict between good and evil, suspense","osemary's Baby (1968), The Exorcist (1973), The Nun (2018), The Omen (1976)",1970.0,1970.0
Catholic Kitsch,Catholic_Kitsch,https://aesthetics.fandom.com/wiki/Catholic_Kitsch,"['Americana', 'Kitsch', 'Pop_Art', 'Tradcath_Coquette', 'Vintage']",20th Century,"Glow-in-the-dark rosaries, sacred heart, dashboard saints, pope bobbleheads, sentimental holy prints, plastic statues, religious-themed household items",,"Devotion, nostalgia, accessibility, sentimentality, ""lived religion""",,1900.0,2000.0
Catholic Mexican Girl,Catholic_Mexican_Girl,https://aesthetics.fandom.com/wiki/Catholic_Mexican_Girl,"['Baroque', 'Coquette', 'Tradcath_Coquette', 'Tradwife']",2020s,"White cotton/linen dresses, red accents (ribbons/flowers), crucifixes, rosaries, braids, colonial architecture, veladoras","White, red, gold, black","Romanticization of religious tradition, hyper-femininity, ""Old World"" nostalgia",,2020.0,2020.0
Cayetana,Cayetana,https://aesthetics.fandom.com/wiki/Cayetana,"['Chic_Modernist', 'Clean_Girl', 'Milipili', 'Old_Money', 'Pijo', 'Preppy', 'Sloanie', 'Torero_Aesthetic']",Late 2010s,"Basic wardrobe staples, natural makeup, gold jewelry, loose-fitting clothing, branded sneakers, designer handbags","Neutrals (beige, white, black, navy), with accents of gold","Simplicity, elegance, wealth, classic style, perceived elitism and conservatism","panish influencers (e.g., María Pombo)",2010.0,2010.0
Celtic Revival,Celtic_Revival,https://aesthetics.fandom.com/wiki/Celtic_Revival,"['Art_Nouveau', 'Arts_and_Crafts', 'Fantasy', 'Glasgow_Style', 'Symbolism']",Late 19th Century,"Celtic knots, spirals (triskelions), mythological figures (Cú Chulainn, Tuatha Dé Danann), ancient manuscripts (Book of Kells), folklore, pastoral landscapes",,"Nationalism, romanticism, mysticism, anti-modernism, cultural identity, spiritualism",,1800.0,1900.0
Changelingcore,Changelingcore,https://aesthetics.fandom.com/wiki/Changelingcore,"['Cryptidcore', 'Ethereal', 'Fairycore', 'Goblincore', 'Liminal_Space', 'Mossy', 'Naturecore']",Late 2010s,"Forests, the moon, collections of strange objects, pebbles, the sea, strange flora and fauna, fairy rings, hidden trails",,"Acceptance of neurodivergent people, being true to one's self",,2010.0,2010.0
Chaotic Academia,Chaotic_Academia,https://aesthetics.fandom.com/wiki/Chaotic_Academia,"['Dark_Academia', 'Light_Academia']",2010s,"illegible notes, disorganized desks, dusty records, messy handwriting, ragged fabrics, torn and stained pages","White, beige, gray, woody brown, tan","Disorganization,  philosophy, curiosity, learning, rejection of elitism, niche subjects","o Kill a Mockingbird, Naked Lunch",2010.0,2010.0
Chav,Chav,https://aesthetics.fandom.com/wiki/Chav,"['Blokecore', 'Casuals', 'Lad_Culture', 'McBling', 'Roadman', 'Ultras']",Late 1990s–Early 2000s,"Branded sportswear, tracksuits, baseball caps, puffer jackets, large gold jewelry (hoop earrings, chains), specific designer patterns (e.g., Burberry check)","Varies, often white, black, grey, with accents from sportswear brands","Working-class youth culture, brand aspiration, consumerism, street style",,1990.0,2000.0
Chernobyl Stalkers,Chernobyl_Stalkers,https://aesthetics.fandom.com/wiki/Chernobyl_Stalkers,"['After_Hours', 'Brutalism', 'Doomer', 'Industrial_Decay', 'Post-Apocalyptic', 'Sovietwave']",1990s,"Gas masks, Soviet-era relics, eerie atmosphere, illegal photography","Black, yellow, military green","Exploring Chernobyl, anti-authoritarianism",oadside Picnic,1990.0,1990.0
Cherry Emoji Twitter,Cherry_Emoji_Twitter,https://aesthetics.fandom.com/wiki/Cherry_Emoji_Twitter,"['Baddie', 'Bimbocore', 'Bubblegum_Bitch', 'Femme_Fatale', 'Lovecore', 'McBling', 'Nymphet', 'Rockabilly', 'Tomato_Girl_Summer']",2010s,"Cherries, Hearts, Lollipops, Lips","Red, Pink, White","Being shamelessly yourself, Sexuality, Respect for fellow hoes, Being very bad while looking very good",,2010.0,2010.0
Chicago Drill,Chicago_Drill,https://aesthetics.fandom.com/wiki/Chicago_Drill,"['Gangsta_Rap', 'Haunted_Mound', 'UK_Drill']",Early 2010s,"True Religion jeans, designer belts (Ferragamo/Hermès), dreadlocks, white tees, loaded weaponry, expansive entourages in music videos","White, denim blue, red, black","Authenticity, nihilism, loyalty, survival, unfiltered reality (""Chiraq"")","ouTube (DGainz, A Zae), WorldStarHipHop",2010.0,2010.0
Chicha,Chicha,https://aesthetics.fandom.com/wiki/Chicha,"['Hippie', 'Kitsch', 'Lowbrow', 'Pop_Art', 'Psychedelia', 'Tropical']",Mid-1970s (Music)1980s (Art),"Tropical and Andean imagery, ""Chicha"" typography (bold, often hand-painted), flowers and animals, stars, psychedelic-inspired patterns, street art elements","Pink, red, yellow, green, fluorescent, blue, orange","Expression of Andean migrant identity, cultural fusion, sometimes activism (Indigenous rights, anti-racism, feminism, LGBT+ rights)","hicha music (Andean Tropical Cumbia), street art, posters, flyers, album covers",1970.0,1980.0
Chic Modernist,Chic_Modernist,https://aesthetics.fandom.com/wiki/Chic_Modernist,"['Beatnik', 'Bon_Chic,_Bon_Genre', 'Boujee', 'Cayetana', 'Corporate', 'Dark_Academia', 'Indie', 'Light_Academia', 'Minimalism', 'Modernism', 'Pijo', 'Pink_Parisian', 'Power_Dressing', 'Preppy', 'Romantic_Italian', 'Yuppie']",nan,,"Neutrals, black, white, bright accent colors","Timelessness, modernizing tradition",,,
Chinese Folk Horror,Chinese_Folk_Horror,https://aesthetics.fandom.com/wiki/Chinese_Folk_Horror,"['Chinese_Dreamcore', 'Folk_Horror', 'Horror', 'Jiangshi_Horror']",nan,"Chinese funeral and marriage customs, dim rural spaces","Red, black, white",,aper Brideseries,,
Chinese Dreamcore,Chinese_Dreamcore,https://aesthetics.fandom.com/wiki/Chinese_Dreamcore,"['Dreamcore', 'Millennial_Feng', 'Liminal_Space', 'Minsu_Horror', 'Nostalgiacore']",2020s,"Liminal spaces, Millennial buildings of China: Khrushchyovka, school buildings, shopping malls",,Nostalgia,,2020.0,2020.0
Chinese New Year,Chinese_New_Year,https://aesthetics.fandom.com/wiki/Chinese_New_Year,"['Guochao', 'Neo-Chinese_Style']",Ancient times (at least 1000 BC),"The New Year's Eve dinner, firecrackers, lanterns, the '福' character, the winter",Red and gold,"Family, bringing fortune, celebration, abundance, rituals, identity",he Spring Festival Gala,-1000.0,-1000.0
Chinoiserie,Chinoiserie,https://aesthetics.fandom.com/wiki/Chinoiserie,"['Baroque', 'Orientalism', 'Rococo']",17th–18th centuries,"Pagodas, dragons, stylized figures in ""Chinese"" attire, intricate lattice work, weeping willows, exotic birds, imagined landscapes, blue and white porcelain patterns","Blue and white, gold, lacquer red and black, soft pastel backgrounds","Exoticism, fantasy, playfulness, luxury, ornamentation, worldliness",,1600.0,1800.0
Choco Girl,Choco_Girl,https://aesthetics.fandom.com/wiki/Choco_Girl,"['2010s_Soft_Kawaii', 'Candycore', 'Dollette', 'Himekaji', 'Kawaii', 'Lolita', 'Pianocore', 'Sanriocore', 'Shoujo', 'Sweet_Lolita']",2000s (term coined in the 2020s),"Chocolate bars, biscuits/cookies, Neapolitan color scheme (brown, pink, cream), dripping chocolate patterns, strawberries","Brown, pink, cream, white","Kawaii, sweetness, nostalgia",,2000.0,2020.0
Cholo,Cholo,https://aesthetics.fandom.com/wiki/Cholo,"['Baddie', 'Chicha', 'Cholombiano', 'Chonga', 'Gangsta_Rap', 'Hip-Hop', 'Pachuco']",1930s,,"Black, Grey, White, Brown, Blue",Hispanic prideAnti-assimilation,,1930.0,1930.0
Cholombiano,Cholombiano,https://aesthetics.fandom.com/wiki/Cholombiano,"['Cholo', 'Cumbiero', 'Hip-Hop', 'Pachuco', 'Reggaetonero']",Late 1990s,"Patilludo hairstyle, oversized clothing, Mexican religious icons (Virgin of Guadalupe, San Judas Tadeo), Colombian flag colors, hand-woven escapularios (scapulars)","Bright tropical colors, Colombian flag Colors (yellow, blue, red), plaid patterns, black, white","Local pride, cultural hybridization, anti-establishment (unintentionally), community, passion for cumbia music",'m No Longer Here (Ya no estoy aquí) (2019 Film),1990.0,1990.0
Chonga,Chonga,https://aesthetics.fandom.com/wiki/Chonga,"['Bimbocore', 'Cholo', 'Choni', 'Gangsta_Rap', 'Hip-Hop', 'McBling']",1980s-2000s,Expressive and loud fashion,"Hot pink, bright tones","Working-class empowerment, sexual liberation, sassiness, cultural pride",,1980.0,2000.0
Choni,Choni,https://aesthetics.fandom.com/wiki/Choni,"['Baddie', 'Cani', 'Chav', 'Chonga', 'McBling', 'Motomami', 'Pokero', 'Raxet']",1990s,"Oversized gold accessories, animal prints (leopard, snake), revealing or tight-fitting clothing, fluorescent or metallic colors, clashing patterns, heavy makeup","Bright colors, hot pink, fluorescent yellow, metallic gold and silver","Perceived vulgarity, aggression, pride in working-class roots, cheapness",,1990.0,1990.0
Christian Girl Autumn,Christian_Girl_Autumn,https://aesthetics.fandom.com/wiki/Christian_Girl_Autumn,"['Autumn_Aesthetic', 'Basic_White_Girl', 'Cinnamon_Girl', 'Normcore', 'VSCO_Girl']",Late 2010s,"Pumpkin spice lattes, chunky knit scarves, pumpkin patches, falling leaves, UGG boots","Warm neutrals (beige, cream, tan, brown), earth tones, maroon, burnt orange","Comfort, coziness, tradition, nostalgia, simple pleasures, curated domesticity",,2010.0,2010.0
Christmas,Christmas,https://aesthetics.fandom.com/wiki/Christmas,['Winter'],nan,"Baby Jesus, Christmas trees, Santa Claus, Christmas stockings, holly, mistletoe, presents","Red,Green,White, Gold","Love, Kindness, Generosity, Peace",,,
Chromecore,Chromecore,https://aesthetics.fandom.com/wiki/Chromecore,"['Cybersigilism', 'Frutiger_Aero', 'Metalheart', 'Mizuiro', 'Retrofuturism', 'Technozen', 'Y2K_Futurism']",Late 90s/2000s,"Metallic and chrome textures, molded curves and shapes","Silver, gray, white, black, blue",,etix,1990.0,2000.0
Chunyu,Chunyu,https://aesthetics.fandom.com/wiki/Chunyu,"['Asian_Baby_Girl', 'Coquette']",Early 2020,,,,,2020.0,2020.0
Chuugoku Musume,Chuugoku_Musume,https://aesthetics.fandom.com/wiki/Chuugoku_Musume,"['Chinoiserie', 'Guochao', 'Moe']",1990s (as character trope),"Pandas, dango atama, Chaina-fuku, kung fu",,,,1990.0,1990.0
Cinnamon Girl,Cinnamon_Girl,https://aesthetics.fandom.com/wiki/Cinnamon_Girl,"['Vanilla_Girl', 'Coquette', 'Stargirl', 'Downtown_Girl']",nan,Pumpkin spice,"Brown, beige",,,,
City Pop,City_Pop,https://aesthetics.fandom.com/wiki/City_Pop,"['Bodikon', 'Cyberpunk', 'Future_Funk', 'Lo-Fi', 'Memphis_Design', 'New_Romantic', 'New_Wave', 'Shibuya-Kei', 'Synthwave', 'Vaporwave', 'Y%C3%A9-y%C3%A9']",mid-1970s,"Cities, modernist architecture, vintage cars, oceans/beaches, random English words",,,"Plastic Love""",1970.0,1970.0
Classicism,Classicism,https://aesthetics.fandom.com/wiki/Classicism,"['Baroque', 'Hellenic', 'Italian_Renaissance', 'Neoclassicism']",5th century BCE (Original Period),"Marble sculpture, allusions to mythology, drapery, idealized nude figures, architectural orders (Doric, Ionic, Corinthian)","Primarily white (in sculpture, due to lost paint), but originally featured bright, saturated colors.","Reason, order, harmony, balance, idealism, restraint, pursuit of truth and beauty",,-500.0,-400.0
Classic Lolita,Classic_Lolita,https://aesthetics.fandom.com/wiki/Classic_Lolita,"['Lolita', 'Mori_Kei', 'Prairie', 'Victorian']",nan,,,,,,
Claymorphism,Claymorphism,https://aesthetics.fandom.com/wiki/Claymorphism,"['Corporate_Memphis', 'Glassmorphism', 'Neumorphism', 'Minimalism', 'Skeuomorphism']",2020s,"3D ""inflated"" shapes, clay/Play-Doh textures, inner and outer shadows, pastel colors, rounded corners, diverse people, everyday scenarios","Pastel blue, pink, white, soft gradients","Friendliness, accessibility, playfulness, tactility",,2020.0,2020.0
Cleancore,Cleancore,https://aesthetics.fandom.com/wiki/Cleancore,"['Babycore', 'Frutiger_Aero', 'Icepunk', 'Kawaii', 'Kidcore', 'Minimalism', 'Poolcore', 'Vacation_Dadcore', 'Vaporwave', 'Zen_Tranquility']",2010s,"Clean objects, sanitizing items, recently cleaned places, cleaning sprays, soaps, shampoo, conditioner, body wash, sponges, sterile environments, laundry pods, clean water, hygiene products aimed at children, bath toys, rubber ducks, bubbles, pajamas, robes","Pale blue, white, teal, mint green, pastels, vibrant colors","Cleanliness, hygiene, anxiety, nostalgia",,2010.0,2010.0
Clean Girl,Clean_Girl,https://aesthetics.fandom.com/wiki/Clean_Girl,"['Minimalism', 'Scandi_Girl_Winter', 'That_Girl', 'Vanilla_Girl']",2020s,"Slicked-back bun (""facelift"" hairstyle), minimalist makeup, claw clips, gold hoop earrings, ""model off-duty"" athleisure, matching workout sets, green juice/iced coffee","Neutrals (beige, white, cream, brown, grey)","Effortlessness, discipline, productivity, wellness, hyper-curation","ikTok, Pinterest, Instagram",2020.0,2020.0
Clockpunk,Clockpunk,https://aesthetics.fandom.com/wiki/Clockpunk,"['Baroque', 'Dungeonpunk', 'Italian_Renaissance', 'Steampunk']",Renaissance inspiration (14th–17th centuries),"Clockwork mechanisms, gears, springs, automatons, ornithopters, polished lenses, intricate carvings","Gold, bronze, brass, wood tones, silver",,"ssassin's Creed II (video game), Dishonored 2 (video game), Hugo (film)",1300.0,1600.0
Clovercore,Clovercore,https://aesthetics.fandom.com/wiki/Clovercore,"['Frutiger_Eco', 'Global_Village_Coffeehouse', 'Heisei_Retro', 'Juminocore', 'Puppycore', 'Whimsy_Twee']",Late 1990s–Early 2000s,"Four-leaf clovers, ladybugs, musical notes, ""sparkle"" or ""glitter"" graphics, lace borders, polka dots, nameless mascots (bears, pandas, hamsters), English phrases about luck and dreams","Lime green, grass green, white, soft pink","Luck, happiness, innocence, childhood nostalgia, nature-themed playfulness",,1990.0,2000.0
Clowncore,Clowncore,https://aesthetics.fandom.com/wiki/Clowncore,"['2020_TikTok', 'Burlesque', 'Juggalo', 'Kidcore', 'Scene', 'Decora', 'Fanfare', 'Visual_Kei']",1860s / 2010s,"Clowns, circuses, bright colors, rainbows","Red, yellow, and blue","Joy, humor, positivity",opee The PerformerHomestuck,1860.0,2010.0
Club Kids,Club_Kids,https://aesthetics.fandom.com/wiki/Club_Kids,"['Androgynous', 'Anti-Fashion', 'Ballroom', 'Camp', 'Cybergoth', 'New_Romantic', 'Rave']",Late 1980s,"Outrageous costumes, theatrical makeup, DIY fashion, gender fluidity, self-branding, nightlife as performance art",,"Individuality, self-expression, creativity, fame, inclusivity, hedonism","arty Monster: The Shockumentary (1998), Party Monster (2003 film)",1980.0,1980.0
Cluttercore,Cluttercore,https://aesthetics.fandom.com/wiki/Cluttercore,"['Cacareco_Girl', 'Cottagecore', 'Goblincore', 'Grandmacore', 'Maximalism']",2020s,"Curated collections, sentimental objects, gallery walls, overflowing bookshelves, plants, eclectic decor, layered textiles","Any, but often highly saturated and varied","Authenticity, creativity, individuality, nostalgia, comfort, storytelling",,2020.0,2020.0
Coastal Cowgirl,Coastal_Cowgirl,https://aesthetics.fandom.com/wiki/Coastal_Cowgirl,"['Coastal_Grandmother', 'Coastal_Style', 'Western', 'Minimalism', 'Rusticcore', 'Tomato_Girl_Summer']",2020s,"Seashells, cowgirl hats, the beach","Baby blue, cream, tan",,,2020.0,2020.0
Coastal Grandmother,Coastal_Grandmother,https://aesthetics.fandom.com/wiki/Coastal_Grandmother,"['Apr%C3%A8s-ski', 'Coastal_Cowgirl', 'Coastal_Style', 'Eclectic_Grandpa', 'Grandmillenial', 'Grandparentcore', 'Nautical', 'Preppy']",2022,"Linen fabrics, white wine, fresh flowers, coastal decor (wicker, pottery), farmers' markets, beach houses","White, cream, beige, navy, sky blue","Comfort, simple luxury, understated elegance, relaxation, mature lifestyle",,2022.0,2022.0
Coastal Style,Coastal_Style,https://aesthetics.fandom.com/wiki/Coastal_Style,"['Coastal_Cowgirl', 'Coastal_Grandmother', 'Dark_Nautical', 'Minimalism', 'Nautical', 'Rustic', 'Scandinavian_Design', 'Shabby_Chic', 'Tropical']",Early 20th Century,"Natural materials, light wood, woven fibers, nautical elements","Blue, white, neutrals","Relaxation, Lightness, Naturalness, Maritime Inspiration, Serenity",,1900.0,2000.0
Cocalar,Cocalar,https://aesthetics.fandom.com/wiki/Cocalar,"['Bombardier', 'Chav', 'Pi%C8%9Bipoanc%C4%83']",Late 1990s,"Tattoos, BMW cars, jewels, glitter, gold chains, fake money, silk, open jackets/shirts","Gold, pink","Kitsch, loudness, listening to Manele music",,1990.0,1990.0
Coconut Girl,Coconut_Girl,https://aesthetics.fandom.com/wiki/Coconut_Girl,"['Americana', 'Barbiecore', 'Bubblegum_Coquette', 'Coquette', 'Curly_Girly', 'McBling', 'Nymphet', 'Surf_Crush', 'Tropical', 'Tropicalcore']",2020s,"Beaches, touristy boardwalk shops, bikinis","Summer colors (pink, yellow, blue, etc.)","Fun, relaxation, youth, femininity, freedom",,2020.0,2020.0
Coffee House,Coffee_House,https://aesthetics.fandom.com/wiki/Coffee_House,"['After_Hours', 'Comfy/Cozy', 'Dark_Academia', 'Foodie', 'Light_Academia', 'Lo-Fi', 'Indie', 'Global_Village_Coffeehouse']",1999 with the rise of the Third Wave of Coffee,"Cafés, coffee, books, espresso machine, people working, cameras, latte art","dark brown, black, mustard, forest green, maroon, navy, grey",,,1999.0,1999.0
Communist Chic,Communist_Chic,https://aesthetics.fandom.com/wiki/Communist_Chic,"['Laborwave', 'Nazi_Chic', 'New_Partisans', 'Punk', 'Soviet_Nostalgia', 'Winter_Bimbo']",Mid-1970s,"Guerrillero Heroico (Che Guevara), Faux Cyrillic, Hammer and sickle, red flags, red/yellow stars, The Communist Manifesto, Soviet-style ushankas","Black, red, yellow","Shock value, appropriation or subversion of totalitarian symbols, counterculture, irony, nostalgia",,1970.0,1970.0
Constructivism,Constructivism,https://aesthetics.fandom.com/wiki/Constructivism,"['Bauhaus', 'Cubism', 'Deconstructivism', 'De_Stijl', 'Futurism', 'International_Typographic_Style', 'Neue_Slowenische_Kunst', 'Suprematism']",1910s - 1920s,"Geometric abstraction, industrial materials (metal, glass, plastic), dynamic diagonal compositions, photomontage, sans-serif typography, structural forms","Limited palettes, often featuring bold red, black, and white","Art in service of social revolution (""art into life""), rejection of ""art for art's sake,"" utilitarianism, functionalism, collectivism, embrace of technology",,1910.0,1920.0
Cool Britannia,Cool_Britannia,https://aesthetics.fandom.com/wiki/Cool_Britannia,"['Acid_House', 'Britpop', 'Casuals', 'Corporate_Hippie', 'Cyberdelic', 'Grunge', 'Groovival', 'Lad_Culture', 'Madchester', 'Mod', 'Psychedelia', 'Freakbeat', 'Rave', 'Skinhead']",1990s,"British imagery, celebration of British youth culture, Britpop, tabloids","Red, White, Blue (Union Jack)","Optimism, British cultural pride, patriotism, consumerism, hedonism",,1990.0,1990.0
Coquette,Coquette,https://aesthetics.fandom.com/wiki/Coquette,[],nan,,,,,,
Colorful Pop,Colorful_Pop,https://aesthetics.fandom.com/wiki/Colorful_Pop,"['Artcore', 'Cyberpop', 'Dokukawaii', 'Fitness_Splatter', 'Memphis_Design', 'Pop_Art', 'Superflat_Pop', 'Vectordelia']",2010s,"Halftone dots, glitch effects, gaming iconography, onomatopoeia, abstract geometric shapes, pixelation, soundwaves, integrated typography,pop articonography","Saturated neon palettes (magenta, cyan, yellow, green), high-contrast black and white","Energy, maximalism, sensory intensity, digital expression, playfulness","use Dash (videogame), Promare (anime film), Spider-Man: Into the Spider-Verse (animated film), WACCA (videogame), J-Core album art",2010.0,2010.0
Corporate,Corporate,https://aesthetics.fandom.com/wiki/Corporate,"['Abstract_Tech', 'Boujee', 'Bright_Tertiaries', 'Chic_Modernist', '//cari.institute/aesthetics/corporate-gen-x-cyber', 'Corporate_Hippie', 'Corporate_Grunge', 'Corporate_Memphis', 'Cyberminimalism', 'Cyberprep', 'Dark_Aero', 'DORFic', 'Flat_Design', 'Four_Colors', 'Frutiger_Aero', 'Frutiger_Eco', 'International_Typographic_Style', 'Mallsoft', 'Metrosexual', 'Power_Dressing', 'Sprezzatura', 'Technozen', 'Trillwave', 'Vaporwave', 'Yuppie']",1950s,,"Black, white, dark blue, gray. bright colours are seen but used moderately","Neatness, being presentable, looking ""sharp""",,1950.0,1950.0
Corporate Goth,Corporate_Goth,https://aesthetics.fandom.com/wiki/Corporate_Goth,"['Corporate', 'Dark_Academia', 'Goth', 'Office_Siren']",1990s,"Black suits, ornate blouses (lace, ruffles, silk), subtle gothic jewelry, tailored clothing, jewel-tone accents","Black, charcoal grey, white, deep jewel tones (burgundy, plum, emerald green)","Professionalism, subtlety, sophistication, compromise, maintaining individuality",,1990.0,1990.0
Corporate Grunge,Corporate_Grunge,https://aesthetics.fandom.com/wiki/Corporate_Grunge,"['//cari.institute/aesthetics/corporate-gen-x-cyber', 'Early_Cyber', 'Cyberpunk', 'Gen_X_Soft_Club', 'Grunge', 'Industrial', 'Sepia_Blur', 'Teenpunk', 'UrBling', '//www.are.na/evan-collins-1522646491/horror-grunge', 'Metalheart', 'Cyberdelic', 'Raver', 'Rivethead', 'Industrial', 'Mission_School', 'Nu-Metal', 'Y2K_Futurism', 'Alternative', 'Memphis_Design']",1990s,"Rough textures, typewriter fonts, distressed font, label makers, grainy overlays, industrial decay, collage imagery, glitch & VHS artifacts","Soot black, paper beige, sepia brown, muddy earth tones","Controlled rebellion, dilution, anti-consumerist aesthetic","e7en, My So-Called Life, WWF Attitude, The Craft, RENT",1990.0,1990.0
Corporate Hippie,Corporate_Hippie,https://aesthetics.fandom.com/wiki/Corporate_Hippie,"['Beatnik', 'Corporate', 'Cyberdelic', 'Flower_Power', 'Groovival', 'Hippie', 'Lovecore', 'Psychedelia', 'Pop_Art', 'Vintage']",1960s,"Distorted or warped visuals, themes of love, bright colors, abstract flourishes and shapes",All,"Peace, love",,1960.0,1960.0
Corporate Memphis,Corporate_Memphis,https://aesthetics.fandom.com/wiki/Corporate_Memphis,"['Claymorphism', 'Flat_Design', 'Minimalism', 'Neubrutalism', 'Memphis_Design']",Late 2010s,"Flat vector illustrations, disproportionate bodies (small heads, bendy limbs), pastel or vibrant solid colors, lack of facial features, geometric shapes","Blue, purple, yellow, pastel tones","Inclusivity, minimalism, scalability, friendliness, mass appeal",,2010.0,2010.0
Costumbrismo,Costumbrismo,https://aesthetics.fandom.com/wiki/Costumbrismo,"['Impressionism', 'Majismo', 'Realism', 'Renovador_Movement', 'Romanticism', 'Spanish_Golden_Age']",19th century,"Everyday life scenes, regional clothing, architecture, social gatherings, religious imagery, archetypes",Natural colours,"Tradition, community, realism, social observation, regionalism, longing",,1800.0,1900.0
Cottagecore,Cottagecore,https://aesthetics.fandom.com/wiki/Cottagecore,"['Cozy_Gamer', 'Edwardian', 'Grandmacore', 'Fairycore', 'Goblincore', 'Mushroomcore', 'Naturecore', 'Mori_Kei', 'Plant_Mom', 'Romanticism', 'Tradwife', 'Witchcore']",2010s (inspired by the 19th century),"Baking, gardening, foraging, picnics, farm animals, wildflowers, embroidery, handmade crafts, cottages","Earthy and natural tones (brown, moss green, beige), soft pastels, faded floral prints, gingham","Simplicity, self-sufficiency, harmony with nature, domesticity, nostalgia, gentleness, anti-modernism","he Wind in the Willows, Beatrix Potter books, Studio Ghibli films, Animal Crossing (video game)",2010.0,2010.0
Cottagegoth,Cottagegoth,https://aesthetics.fandom.com/wiki/Cottagegoth,"['Cottagecore', 'Crowcore', 'Dark_Academia', 'Dark_Fantasy', 'Fairy_Grunge', 'Folk_Horror', 'Forestpunk', 'Goblincore', 'Southern_Gothic', 'Strega', 'Vulture_Culture', 'Witchcore']",Early 2020s,"Overgrown gardens, poisonous plants, animal bones, fog and rain, cemeteries, dark forests, witchcraft elements","Muted earth tones: faded brown, moss green, grey, and black","Appreciation for the darker aspects of nature, solitude, decay and rebirth, mixing pastoralism with the macabre","ver the Garden Wall, The Witch (2015), music by Dead Can Dance",2020.0,2020.0
Country,Country,https://aesthetics.fandom.com/wiki/Country,"['Americana', 'Cottagecore', 'Equestrian', 'French_Provincial_Style', 'Gaucho', 'Live_Laugh_Love', 'Southern_Gothic', 'Western']",nan,,"Red, brown, tan, navy blue","Patriotism, hard work, family, tradition",,,
Cozycore,Cozycore,https://aesthetics.fandom.com/wiki/Cozycore,"['Autumn_Aesthetic', 'Cabincore', 'Cottagecore', 'Cozy_Gamer', 'Dark_Academia', 'Hygge', 'Light_Academia', 'Winter_Aesthetic']",Late 2010s,"Chunky knit blankets, steaming mugs, books, candles, soft lighting, oversized sweaters, leisurewear, pets","Warm neutrals (beige, cream, grey, brown), soft earth tones","Comfort, safety, softness, abundance, slowness, self-care",,2010.0,2010.0
Cozy Gamer,Cozy_Gamer,https://aesthetics.fandom.com/wiki/Cozy_Gamer,"['Cottagecore', 'Cozycore', 'Juminocore', 'Kawaii_Gamer', 'Lo-fi_Art', 'Naturecore', 'Witchcore']",2020s,"Houseplants, mechanical keyboards, plushies, pixel art, warm fairy lights, wood textures, pegboards, mugs","Sage green, cream, soft brown, pastel pink, warm white","Escapism, comfort, mindfulness, slow living, soft productivity","tardew Valley, Animal Crossing, Unpacking, Spiritfarer, Wylde Flowers",2020.0,2020.0
Craftcore,Craftcore,https://aesthetics.fandom.com/wiki/Craftcore,"['Boho-Chic', 'Cottagecore', 'Grandmacore', 'Pearlcore', 'Whimsicraft']",Late 2010s,"Patchwork, quilting, crochet, chunky knits, embroidery, beading, macramé, tie-dye","Varies widely, often vibrant and eclectic, but can also be natural and earthy","Authenticity, sustainability, individuality, nostalgia, mindfulness,DIY ethos",,2010.0,2010.0
Crowcore,Crowcore,https://aesthetics.fandom.com/wiki/Crowcore,"['Black', 'Cottagecore', 'Cryptidcore', 'Dragoncore', 'Goblincore', 'Green', 'Mossy', 'Naturecore', 'Pirate', 'Vulture_Culture', 'White']",Unknown,,"Rustic Silvers, Copper Tones,White,Green,Black","Simplicity, intelligence, freedom, and shiny things",,,
Crust Punk,Crust_Punk,https://aesthetics.fandom.com/wiki/Crust_Punk,"['Gutter_Punk', 'Punk', 'Grunge']",Early 1980’s,,,,,1980.0,1980.0
